School Type,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,Lakshadweep,Girl,NA,NA,NA,55.28,60.12,60.43,58.45,92.7,91.9,80.8
Primary School,Madhya Pradesh,Total,111.24,95.02,106.59,132.16,143.67,150.41,153.44,149.7,136,135.2
Primary School,Madhya Pradesh,Boy,NA,NA,NA,135.35,146.65,153.71,154.49,150,135.3,131.2
Primary School,Madhya Pradesh,Girl,NA,NA,NA,128.74,140.49,146.9,152.31,149.4,136.7,139.7
Primary School,Maharashtra,Total,108.27,106.55,107.6,110.37,110.69,113.61,101.83,103.1,103.6,104.7
Primary School,Maharashtra,Boy,NA,NA,NA,110.34,111.68,116.06,103.47,104.7,104.8,105.5
Primary School,Maharashtra,Girl,NA,NA,NA,110.4,109.62,110.98,100.04,101.5,102.3,103.7
Primary School,Manipur,Total,99.13,146.88,137.51,151.69,157.92,163.61,173.18,178.8,185.9,192.1
Primary School,Manipur,Boy,NA,NA,NA,154.41,160.94,166.71,175.95,182.1,189.6,195.7
Primary School,Manipur,Girl,NA,NA,NA,148.88,154.79,160.4,170.3,175.4,182.2,188.4
Primary School,Meghalaya,Total,112.42,116.19,105.51,147.62,162.37,181.84,191.53,177.6,184.9,195
Primary School,Meghalaya,Boy,NA,NA,NA,145.34,163.69,183.16,193.47,179.3,184.2,193.7
Primary School,Meghalaya,Girl,NA,NA,NA,149.95,161.01,180.49,189.54,176,185.5,196.3
Primary School,Mizoram,Total,119.07,128.7,120.17,127.53,169.06,158.92,170.95,162.1,168.6,186
Primary School,Mizoram,Boy,NA,NA,NA,132.25,170.53,162.4,176.07,167,174.4,191.7
Primary School,Mizoram,Girl,NA,NA,NA,122.71,167.54,155.37,165.66,157,162.7,180
Primary School,Nagaland,Total,105.7,65.22,80.48,87.94,88.82,90.25,92.51,95.3,99.2,103.3
Primary School,Nagaland,Boy,NA,NA,NA,88.68,89.57,90.96,92.5,95.6,99.6,103.7
Primary School,Nagaland,Girl,NA,NA,NA,87.15,88.01,89.48,92.52,95.1,98.8,102.8
Primary School,Odisha,Total,115.64,103.02,110.91,129.69,109.17,114.07,117.02,119.6,118.8,119.4
Primary School,Odisha,Boy,NA,NA,NA,131.89,109.99,116.36,116.94,119.1,118.4,118.7
Primary School,Odisha,Girl,NA,NA,NA,127.37,108.3,111.66,117.11,120.1,119.2,120.1
Primary School,Puducherry,Total,76.2,116.17,120.37,131.64,134.26,142.4,144.38,108.5,105.8,103.6
Primary School,Puducherry,Boy,NA,NA,NA,141.3,143.37,152.49,154.74,109.6,106.6,104.8
Primary School,Puducherry,Girl,NA,NA,NA,122.7,125.83,133.15,134.8,107.4,104.9,102.3
Primary School,Punjab,Total,76.91,71.12,73.45,77.2,77.46,81.33,92.78,105.1,80,108.8
Primary School,Punjab,Boy,NA,NA,NA,74.49,74.92,78.07,93.51,105.9,78.9,109.1
Primary School,Punjab,Girl,NA,NA,NA,80.52,80.58,85.36,91.96,104.2,81.3,108.3
Primary School,Rajasthan,Total,112.15,97.25,115.07,121.24,121.69,122.36,118.28,117.9,117.1,109.9
Primary School,Rajasthan,Boy,NA,NA,NA,125.4,124.69,125.3,121.37,121.3,119,110.3
Primary School,Rajasthan,Girl,NA,NA,NA,116.66,118.4,119.14,114.85,114.2,115,109.5
Primary School,Sikkim,Total,114.93,121.68,116.51,143.58,151.15,144.07,148.02,149.6,155.3,161.6
Primary School,Sikkim,Boy,NA,NA,NA,144.46,153.37,143.52,149.31,151.7,157.8,164.4
Primary School,Sikkim,Girl,NA,NA,NA,142.71,148.92,144.63,146.71,147.4,152.7,158.7
Primary School,Tamil Nadu,Total,97.81,115.5,116.51,118.41,120.07,117.81,116.14,115.1,114.7,111.8
Primary School,Tamil Nadu,Boy,NA,NA,NA,119.52,120.59,117.78,116.36,115.5,114.3,111
Primary School,Tamil Nadu,Girl,NA,NA,NA,117.23,119.53,117.84,115.9,114.7,115.2,112.6
Primary School,Tripura,Total,101.88,123.85,122.76,131.03,143.35,143.06,147.79,145.5,145.2,134.1
Primary School,Tripura,Boy,NA,NA,NA,133.67,147.1,146.27,149.37,146.9,146.7,134.9
Primary School,Tripura,Girl,NA,NA,NA,128.26,139.45,139.72,146.15,144.1,143.7,133.3
Primary School,Uttar Pradesh,Total,65.72,91.25,94.75,107.54,110.57,113.75,113.68,114.8,110.4,126.9
Primary School,Uttar Pradesh,Boy,NA,NA,NA,110.63,114.2,117.92,110.99,111.6,106.5,123.8
Primary School,Uttar Pradesh,Girl,NA,NA,NA,104.15,106.61,109.24,116.64,118.5,114.7,130.4
Primary School,Uttarakhand,Total,100.65,107.87,106.85,117.74,119.89,122.29,119.4,111.4,110.1,109
Primary School,Uttarakhand,Boy,NA,NA,NA,117.02,118.39,119.23,114.4,109.8,108.6,107.9
Primary School,Uttarakhand,Girl,NA,NA,NA,118.52,121.53,125.66,125.18,113.2,111.7,110.2
Primary School,West Bengal,Total,109.8,102.99,107.33,112.11,102.39,102.77,112.93,101.2,125.5,92.7
Primary School,West Bengal,Boy,NA,NA,NA,112.92,106.38,102.13,113.3,100.6,124.7,91.5
Primary School,West Bengal,Girl,NA,NA,NA,111.27,98.28,103.43,112.55,101.9,126.4,93.9
Upper Primary School,India,Total,NA,NA,NA,69.93,69.57,73.78,78.06,79.8,81.7,85.5
Upper Primary School,India,Boy,NA,NA,NA,74.3,73.84,77.59,81.48,82.7,84.3,87.7
Upper Primary School,India,Girl,NA,NA,NA,65.13,64.9,69.64,74.36,76.6,79,83.1
Upper Primary School,Andaman and Nicobar Islands,Total,86.77,95.3,95.85,106.5,103.5,103.05,102.04,88.3,88.8,87.9
Upper Primary School,Andaman and Nicobar Islands,Boy,NA,NA,NA,103.68,100.41,104.42,106.99,89.9,90.2,89.4
Upper Primary School,Andaman and Nicobar Islands,Girl,NA,NA,NA,109.87,107.2,101.57,97.08,86.6,87.2,86.4
Upper Primary School,Andhra Pradesh,Total,52.28,63.12,64.86,71.76,73.91,75.46,77.26,77.3,77.6,80.1
Upper Primary School,Andhra Pradesh,Boy,NA,NA,NA,73.73,75.49,76.57,77.94,77.7,77.9,80.3
Upper Primary School,Andhra Pradesh,Girl,NA,NA,NA,69.68,72.26,74.29,76.55,77,77.3,79.9
Upper Primary School,Arunachal Pradesh,Total,70.02,65.69,63.6,75.53,81.1,84.73,94.36,84.2,86.5,105.5
Upper Primary School,Arunachal Pradesh,Boy,NA,NA,NA,81.75,87.69,91.11,100.88,88.2,89.7,108.5
Upper Primary School,Arunachal Pradesh,Girl,NA,NA,NA,69.16,74.35,78.19,87.69,80,83.3,102.6
Upper Primary School,Assam,Total,70.63,51.22,63.65,69.7,68.76,65.55,91.27,67.9,68.8,67.9
Upper Primary School,Assam,Boy,NA,NA,NA,72.05,71.31,67.55,92.04,66.5,67.3,67.2
Upper Primary School,Assam,Girl,NA,NA,NA,67.22,66.08,63.46,90.47,69.4,70.3,68.7
Upper Primary School,Bihar,Total,30.07,24.98,25.33,32.43,34.27,39,46.22,48,55.4,64.6
Upper Primary School,Bihar,Boy,NA,NA,NA,39.66,41.28,45.8,53.07,54.3,60.8,68.4
Upper Primary School,Bihar,Girl,NA,NA,NA,24.29,26.48,31.54,38.77,41.3,49.7,60.4
Upper Primary School,Chandigarh,Total,64.91,74.68,69.5,68.57,48.79,73.37,81.52,76.6,78.3,81
Upper Primary School,Chandigarh,Boy,NA,NA,NA,65.35,46.31,72.5,82.68,78.3,81.2,84.5
Upper Primary School,Chandigarh,Girl,NA,NA,NA,72.75,52,74.44,80.14,74.7,75,77.1
Upper Primary School,Chhattisgarh,Total,68.01,71.12,70.52,79.87,78.34,87.56,89.83,91,84.1,87.5
Upper Primary School,Chhattisgarh,Boy,NA,NA,NA,89.2,84.93,92.71,95.16,94.7,87.1,90.2
Upper Primary School,Chhattisgarh,Girl,NA,NA,NA,70.19,71.53,82.27,84.36,87.2,81.1,84.7
Upper Primary School,Dadra and Nagar Haveli,Total,82.03,78.83,81.64,79.05,83.39,88.89,98.89,79.4,98.8,100.6
Upper Primary School,Dadra and Nagar Haveli,Boy,NA,NA,NA,89.9,94.44,101.87,108.74,81.5,101.7,100.7
Upper Primary School,Dadra and Nagar Haveli,Girl,NA,NA,NA,66.64,70.77,74.77,87.63,76.7,95.3,100.5
Upper Primary School,Daman and Diu,Total,86.41,102.81,97.62,116.57,125.4,118.47,105.25,102.8,77.9,76.4
Upper Primary School,Daman and Diu,Boy,NA,NA,NA,108.63,118.55,122.12,114.5,98.4,74.5,72.4
Upper Primary School,Daman and Diu,Girl,NA,NA,NA,127.17,134.53,114.51,96,108.4,82.2,81.3
Upper Primary School,Delhi,Total,85.41,88.34,85.34,87.59,93.68,93.33,99.72,104.4,109,108.8
Upper Primary School,Delhi,Boy,NA,NA,NA,82.61,90.66,90.35,97.52,104.7,110.8,110.9
Upper Primary School,Delhi,Girl,NA,NA,NA,93.54,97.3,96.89,102.36,104.1,106.9,106.4
Upper Primary School,Goa,Total,70.54,105.34,101.23,100.61,98.04,93.64,88.74,86.7,89.1,95.8
Upper Primary School,Goa,Boy,NA,NA,NA,102.18,100.41,96.51,92.07,90.4,92.9,99.2
Upper Primary School,Goa,Girl,NA,NA,NA,98.9,95.47,90.52,85.13,82.8,85.1,92.2
Upper Primary School,Gujarat,Total,70.67,75.94,70.4,73.77,74.24,75.44,78.22,86.2,86.5,85.7
Upper Primary School,Gujarat,Boy,NA,NA,NA,80.39,81.12,82.46,85.26,88.8,90.5,89.5
Upper Primary School,Gujarat,Girl,NA,NA,NA,66.27,66.45,67.48,70.23,83.4,82,81.5
Upper Primary School,Haryana,Total,65.84,67.33,65.51,76.39,74.83,80.29,75.69,73.1,78.8,83.5
Upper Primary School,Haryana,Boy,NA,NA,NA,77.68,74.93,79.13,75.36,67.1,77.3,82.3
Upper Primary School,Haryana,Girl,NA,NA,NA,74.85,74.7,81.69,76.08,80.1,80.6,84.8
Upper Primary School,Himachal Pradesh,Total,92.88,104.06,98.24,108.5,107.84,107.87,114.31,113.8,113.4,113.8
Upper Primary School,Himachal Pradesh,Boy,NA,NA,NA,109.85,109.19,109.34,115.4,114.9,114.6,116
Upper Primary School,Himachal Pradesh,Girl,NA,NA,NA,107.04,106.37,106.27,113.12,112.5,112,111.4
Upper Primary School,Jammu and Kashmir,Total,74.39,60.93,50.6,60.28,64,64.86,66.82,88.4,93.2,94.7
Upper Primary School,Jammu and Kashmir,Boy,NA,NA,NA,64.87,70.01,70.93,73.04,90.6,95.3,96.6
Upper Primary School,Jammu and Kashmir,Girl,NA,NA,NA,55.39,57.6,58.41,60.19,86,90.8,92.6
Upper Primary School,Jharkhand,Total,37.56,31.46,37.54,43.41,45.77,52.28,62.2,61,76.1,81.3
Upper Primary School,Jharkhand,Boy,NA,NA,NA,49.41,52.05,58.81,72.6,71.4,77,81.7
Upper Primary School,Jharkhand,Girl,NA,NA,NA,36.98,39.07,45.37,51.3,50.2,75.1,81
Upper Primary School,Karnataka,Total,73.93,74.28,76.2,85.47,84.64,88.76,90.25,90,89.3,90.7
Upper Primary School,Karnataka,Boy,NA,NA,NA,87.64,86.07,90.62,91.45,91.4,90.9,92.2
Upper Primary School,Karnataka,Girl,NA,NA,NA,83.19,83.14,86.82,88.99,88.6,87.7,89.1
Upper Primary School,Kerala,Total,97.77,97.07,93.64,98.19,97.94,98.94,100.08,102.3,104.9,103.9
Upper Primary School,Kerala,Boy,NA,NA,NA,100.91,100.29,100.97,101.64,104.2,107.2,106.5
Upper Primary School,Kerala,Girl,NA,NA,NA,95.38,95.5,96.82,98.45,100.4,102.5,101.3
